FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
JACKST v AL A&M 09-Jan-2023,2,15,33,5,16,19,27,7,22,9,6,4,16,17
JACKST v AL A&M 09-Jan-2023,1,14,28,9,29,17,25,11,23,14,10,3,14,20
IND ST v AL A&M 18-Dec-2021,2,10,33,6,21,5,8,4,22,7,7,3,14,14
IND ST v AL A&M 18-Dec-2021,1,22,32,5,25,8,13,9,35,18,5,0,15,10
AL A&M v TX SOU 21-Jan-2023,1,18,41,5,18,8,15,8,20,7,9,2,21,23
AL A&M v TX SOU 21-Jan-2023,2,21,43,3,10,19,25,11,29,11,10,4,23,21
UGA v ALA 25-Jan-2022,2,18,29,9,34,13,20,17,25,18,9,7,19,23
UGA v ALA 25-Jan-2022,1,17,33,8,23,24,30,9,23,16,5,1,14,20
ALA v SDAKST 03-Dec-2022,1,14,28,13,40,11,15,15,30,20,5,5,10,14
ALA v SDAKST 03-Dec-2022,2,20,41,6,20,7,11,8,29,9,6,3,11,16
ALA v JAX ST 18-Dec-2021,1,15,26,8,30,11,16,11,30,15,5,8,11,17
ALA v JAX ST 18-Dec-2021,2,16,36,6,25,9,16,13,25,7,4,3,9,20
ALA v UCONN 25-Nov-2022,1,15,34,6,16,19,25,9,26,10,4,6,21,23
ALA v UCONN 25-Nov-2022,2,17,36,9,24,21,24,10,22,18,8,7,12,23
LSU v ALA 04-Feb-2023,2,13,29,13,29,14,15,4,31,19,4,5,9,19
LSU v ALA 04-Feb-2023,1,12,35,7,27,24,31,13,27,11,7,8,8,16
ALA v LSU 14-Jan-2023,1,15,22,20,54,16,20,20,32,19,7,7,8,21
ALA v LSU 14-Jan-2023,2,10,40,8,21,22,29,14,24,12,4,0,11,18
GONZ v ALA 04-Dec-2021,2,18,38,13,34,16,22,12,31,15,7,9,12,24
GONZ v ALA 04-Dec-2021,1,21,44,9,23,13,25,13,29,17,6,9,12,15
MISSST v ALA 15-Jan-2022,2,14,27,8,29,24,28,13,19,12,7,3,15,26
MISSST v ALA 15-Jan-2022,1,22,43,2,16,28,38,18,25,9,8,2,13,21
ALA v S CAR 26-Feb-2022,1,16,28,13,33,19,23,13,25,17,8,1,17,14
ALA v S CAR 26-Feb-2022,2,20,38,7,21,10,11,8,22,18,6,6,19,18
ALA v LIBRTY 11-Nov-2022,1,17,30,10,22,31,38,12,33,14,8,6,15,23
ALA v LIBRTY 11-Nov-2022,2,10,26,8,29,15,20,6,17,13,6,1,14,25
ALA v VANDY 31-Jan-2023,1,17,20,19,41,10,14,10,35,29,10,3,12,12
ALA v VANDY 31-Jan-2023,2,13,34,3,30,9,11,15,18,6,7,1,16,13
